ecr_id,experiment_id,packet_id,provider,variant_id,variant_order,recognition_value,recognized_artifact_raw,domain_terms_introduced,prior_knowledge_leakage_risk,notes
ECR-000003,EXP-001,ECR-000003-EXP001-P001A,gpt,P001A,1,not_recognized,,,low,tolerant_parse
ECR-000003,EXP-001,ECR-000003-EXP001-P001A,claude,P001A,1,partial,"Plausible recognition: beam search or iterative narrowing / candidate pruning procedure. Low-to-medium confidence. Graph structure (fan-out from single node, convergence, re-sort, loop-back, single-path exit) is consistent with several search or ranking procedures. Recognition not used to fill structure.",evidence,Low. No domain terminology was introduced. Structural observations were derived solely from graph edges and node notes. The recognized pattern is broad enough that it maps to multiple procedure families; no specific domain structure was imported.,
ECR-000003,EXP-001,ECR-000003-EXP001-P001A,gemini,P001A,1,unknown,unrecognized,,none,
ECR-000003,EXP-001,ECR-000003-EXP001-P001B,gpt,P001B,2,not_recognized,,,low,tolerant_parse
ECR-000003,EXP-001,ECR-000003-EXP001-P001B,claude,P001B,2,partial,"no confident recognition; renumbered node labels prevent reliable identification; graph topology suggests a generate-and-test or parallel-path selection procedure with a re-evaluation loop, but this is not sufficient for confident artifact identification",,low; no domain terms were introduced; structural observations are grounded solely in graph edges and node notes; the parallel-path-with-reeval topology is generic enough that no specific artifact was assumed,
ECR-000003,EXP-001,ECR-000003-EXP001-P001B,gemini,P001B,2,not_recognized,,,generic_procedural_language,
ECR-000003,EXP-001,ECR-000003-EXP001-P001C,gpt,P001C,3,not_recognized,,,low,tolerant_parse
ECR-000003,EXP-001,ECR-000003-EXP001-P001C,claude,P001C,3,partial,"No confident recognition. The abstract shape (expand one state into multiple candidate paths; introduce a differentiating input; re-sort candidate fit; loop while separation is weak; close when one candidate is strongest, or abandon when continuation is not justified) resembles a generic iterative candidate-discrimination / hypothesis-refinement loop (family that includes e.g. differential-diagnosis-style procedures or elimination-by-evidence loops). No domain terminology is present in the packet, so no specific named artifact is identified.",diagnosis; evidence,"Low-to-moderate. The resemblance noted in recognized_artifact could bias interpretation toward diagnosis-style semantics; extraction was restricted to packet vocabulary (paths, differentiating input, re-sorting, separation) and no domain terminology was imported into any layer.",
ECR-000003,EXP-001,ECR-000003-EXP001-P001C,gemini,P001C,3,unknown,unrecognized,,none,
ECR-000003,EXP-001,ECR-000003-EXP001-P001D,gpt,P001D,4,not_recognized,,,low,Packet version 1.1 verified.; tolerant_parse
ECR-000003,EXP-001,ECR-000003-EXP001-P001D,claude,P001D,4,not_recognized,,diagnosis; hypothesis testing,"low-to-moderate: the familiar 'generate-then-discriminate' shape creates a temptation to import domain framing (e.g., hypothesis testing or diagnosis vocabulary); this was avoided by keeping all labels at the packet's own level of abstraction (paths, differentiating input, fit, separation).",Packet version 1.1 verified.
ECR-000003,EXP-001,ECR-000003-EXP001-P001D,gemini,P001D,4,not_recognized,,,generic_procedural_language,Packet version 1.1 verified.
