ecr_id,experiment_id,packet_id,provider,variant_id,variant_order,recognition_value,recognized_artifact_raw,domain_terms_introduced,prior_knowledge_leakage_risk,notes
ECR-000003,EXP-002,ECR-000003-EXP002-P001A,gpt,P001A,1,partial,"Iterative selection procedure with repeated information gathering; possibly recognizable as a general decision procedure, but no specific artifact identified.",evidence,low; no specific external framework or named artifact was used to complete missing structure.,tolerant_parse
ECR-000003,EXP-002,ECR-000003-EXP002-P001A,claude,P001A,1,recognized,"Resembles a generic iterative disambiguation / hypothesis-discrimination loop (family includes differential diagnosis, generate-and-test troubleshooting, sequential evidence-gathering decision procedures). No single named artifact is uniquely identifiable from the packet.",diagnosis; differential diagnosis; hypothesis testing; evidence,"Low-to-moderate: the family recognition could tempt insertion of elimination semantics, evidence-value criteria, or candidate-pruning steps not present in the packet; these were deliberately excluded and flagged as ambiguities instead.",
ECR-000003,EXP-002,ECR-000003-EXP002-P001A,gemini,P001A,1,recognized,Differential Diagnosis / Bayesian Troubleshooting Loop,diagnosis; differential diagnosis; evidence,"Low. While external concepts like 'Hypotheses' and 'Evidence' map perfectly to 'paths' and 'input', the extracted fields preserve literal text constraints and structure explicitly defined in the narrative.",
ECR-000003,EXP-002,ECR-000003-EXP002-P001B,gpt,P001B,2,partial,Iterative decision procedure with repeated information gathering and reassessment (recognition unavoidable; no additional structure inferred).,evidence,Low. Extraction was limited to the packet text and explicit procedural implications without importing additional structure.,tolerant_parse
ECR-000003,EXP-002,ECR-000003-EXP002-P001B,claude,P001B,2,partial,"The procedure is structurally consistent with a generic iterative hypothesis-discrimination loop (e.g., differential diagnosis, sequential hypothesis testing, or troubleshooting-by-elimination). Recognition is at the family level only; no specific named artifact is identifiable from the packet.",diagnosis; differential diagnosis; hypothesis testing; evidence,"Low-to-moderate. Main risk points: (1) glossing 'paths' as hypotheses/candidates imports a diagnostic framing; (2) listing PRUNE_CANDIDATES and SELECT_CANDIDATE as candidate missing primitives is informed by knowledge of typical procedures in this family, though both were flagged as unsupported rather than asserted. No steps, conditions, or loop structure were added beyond packet text.",
ECR-000003,EXP-002,ECR-000003-EXP002-P001B,gemini,P001B,2,unknown,unknown,,generic_procedural_language,
ECR-000003,EXP-002,ECR-000003-EXP002-P001C,gpt,P001C,3,partial,"A recognizable directed control-flow graph with branching, convergence, conditional branching, a feedback loop, and terminal states; no stronger identification recorded.",,low; extraction limited to explicit graph structure and annotations.,tolerant_parse
ECR-000003,EXP-002,ECR-000003-EXP002-P001C,claude,P001C,3,not_recognized,,,"low; the only interpretive vocabulary used ('dispatch', 'converge', 'evaluate', 'iterate') is generic control-flow terminology derived from graph shape and the three stated guards, not from any recognized source artifact",
ECR-000003,EXP-002,ECR-000003-EXP002-P001C,gemini,P001C,3,unknown,unrecognized,,generic_procedural_language,
ECR-000003,EXP-002,ECR-000003-EXP002-P001D,gpt,P001D,4,partial,State transition table representing an iterative procedural state machine.,,low,tolerant_parse
ECR-000003,EXP-002,ECR-000003-EXP002-P001D,claude,P001D,4,partial,no_confirmed_identification; weak structural resemblance only to a generic enumerate-then-narrow iterative decision loop. No prior-knowledge content was used to populate any other field.,,"low — all state names, condition names, and edges were taken verbatim from the packet; abstraction labels in the primitive layer (e.g., 'enumerate_options', 'evaluate_against_threshold') are derived directly from packet condition text ('path_x listed', 'threshold not met') and introduce no domain vocabulary. Residual risk is that the primitive labels themselves impose a slightly more purposive reading than the bare table warrants.",
ECR-000003,EXP-002,ECR-000003-EXP002-P001D,gemini,P001D,4,partial,workflow routing engine / decision path routing logic,,Low. Extraction parameters are bound directly to the explicit explicit literal keys provided in the variant transition block table text.,
