artifact_id,blinded_artifact_id,reconstruction_analyst_id,primitive_sequence,reconstructed_flow,reconstruction_rating,recognizable,notes
SWOT,BA-001,RA-01,"Bound;Observe;Classify;Evaluate","Frame a situation, identify relevant factors, sort them into types, and judge which categories matter most",moderate,yes,"Recognizable as a situational assessment but not uniquely branded"
Five Whys,BA-002,RA-01,"Bound;Observe;Explain;Explain;Verify","State a problem, inspect the event, extend a causal chain, and stop when a plausible explanation appears adequately confirmed",strong,yes,"Sequence preserved causal drilling pattern"
OODA Loop,BA-003,RA-01,"Observe;Interpret;Decide;Act;Reassess","Sense a changing situation, interpret it, choose a response, act, then revisit the judgment as conditions change",strong,yes,"Highly recognizable cyclic reasoning pattern"
Scientific Method,BA-004,RA-01,"Observe;Generate;Verify;Interpret;Reassess","Notice a phenomenon, propose an explanation, test it, interpret results, and revise the explanation",strong,yes,"Strong reconstruction"
FMEA,BA-005,RA-01,"Bound;Generate;Explain;Evaluate;Prioritize;Act","Define a system, list possible failures, understand their effects or causes, judge risk, rank what matters most, and act on the highest concerns",moderate,yes,"Candidate Prioritize improved recognizability"
Design Thinking,BA-006,RA-01,"Observe;Bound;Generate;Act;Verify;Reassess","Study users, define the problem, generate ideas, build something, test it, and iterate",strong,yes,"Recognizable innovation cycle"
Scrum,BA-007,RA-01,"Bound;Prioritize;Decide;Act;Reflect;Reassess","Set a short-term goal, order work, commit to a subset, execute, review what happened, and adjust the next cycle",moderate,yes,"Recognizable as iterative work management but not uniquely Scrum"
Bloom's Taxonomy,BA-008,RA-01,"Classify;Evaluate;Decide","Organize tasks into levels of cognitive complexity and choose an intended level of challenge",weak,no,"Sequence lost that the artifact is largely a reference hierarchy rather than a procedural method"
Cynefin,BA-009,RA-01,"Observe;Classify;Interpret;Decide;Reassess","Sense a context, place it into a domain, interpret what the domain implies, choose a response pattern, and revisit placement if the context shifts",moderate,yes,"Recognizable as domain-based sensemaking"
Business Model Canvas,BA-010,RA-01,"Bound;Classify;Generate;Evaluate;Communicate","Frame an organization, map major components, propose relationships or choices, judge fit, and communicate the overall model",weak,no,"Sequence flattened a representational planning canvas into generic model construction"
Medical differential diagnosis,BA-011,RA-01,"Observe;Bound;Generate;Explain;Evaluate;Decide;Verify;Reassess","Gather findings, frame the case, generate possible explanations, judge their fit, choose a next step, test the leading explanation, and update as evidence changes",strong,yes,"Diagnostic reasoning survived reduction well"
Incident Command System,BA-012,RA-01,"Bound;Observe;Classify;Communicate;Decide;Act;Reassess","Set incident objectives, assess the situation, organize roles, communicate the plan, choose tactics, act, and revise as the incident evolves",moderate,yes,"Recognizable as structured incident management"
PDCA,BA-013,RA-01,"Bound;Generate;Act;Verify;Reflect;Reassess","Define an improvement target, plan a change, implement it, check results, learn from the outcome, and adjust the next round",strong,yes,"Strong cyclical reconstruction"
Root Cause Analysis,BA-014,RA-01,"Bound;Observe;Explain;Verify;Decide;Act","Define a problem, gather evidence, build a causal account, test the likely cause, choose a correction, and implement it",strong,yes,"Recognizable investigation pattern"
Decision Matrix,BA-015,RA-01,"Bound;Generate;Compare;Evaluate;Decide;Communicate","Frame a choice, list options, compare them against criteria, judge the fit, choose one, and explain the choice",strong,yes,"Compare candidate materially improved reconstruction"
Theory of Change,BA-016,RA-01,"Bound;Explain;Classify;Interpret;Verify;Communicate","Define a target outcome, explain a pathway to it, organize intermediate steps, make assumptions explicit, specify what to test later, and communicate the model",moderate,yes,"Recognizable as causal planning but somewhat compressed"
After Action Review,BA-017,RA-01,"Observe;Explain;Reflect;Decide;Communicate","Describe what happened, explain differences, extract lessons, decide changes, and share them",strong,yes,"Strong post-event learning pattern"
STRIDE,BA-018,RA-01,"Bound;Observe;Classify;Interpret;Evaluate;Decide","Define a system, inspect components, sort possible threats, interpret applicability, judge severity, and choose mitigations",strong,yes,"Threat-modeling flow remained recognizable"
Kolb Learning Cycle,BA-019,RA-01,"Act;Observe;Reflect;Interpret;Reassess","Have an experience, observe it, reflect on it, form a concept, and revisit understanding through the next experiment",moderate,yes,"Learning cycle survived but active experimentation was compressed"
Hoshin Kanri,BA-020,RA-01,"Bound;Generate;Prioritize;Communicate;Act;Verify;Reassess","Set strategic objectives, produce initiatives, rank them, align commitments, execute, review progress, and adjust",weak,no,"Sequence pointed to strategic deployment generally but did not uniquely recover the branded method"
