card_id,field_name,score,note
A01,card_id,present-operational,Stable concrete identifier used consistently throughout the artifact.
A01,input,present-descriptive,Names a category of artifact ("overlap too much for single-label classification") but no concrete schema or checkable form.
A01,operation,present-descriptive,States the principle "separate identity from capability" but no procedure/algorithm for how to do it.
A01,output,present-descriptive,Describes a shape ("identity and capability recorded as distinct properties") with no concrete format; marked inference.
A01,scope_conditions,present-descriptive,Names the FE-008 context but gives no checkable membership test for when the mechanism applies.
A01,failure_conditions,absent,Card states directly no canonical failure condition exists in the permitted evidence.
A01,predicted_effect,present-descriptive,"""Easier to reason about"" names no measurable outcome dimension and no explicit comparison group."
A01,measurement,absent,Card states no metric is defined in the permitted canonical set.
A01,implementation_test,absent,Card states no procedure is specified; cannot fail because nothing exists to run.
A01,decision_rights,absent,Card states no canonical owner or dispute-resolution authority is named.
A01,uncertainty_handling,present-descriptive,Only a generic research-constitution rule applied by inference; not mechanism-specific.
A01,verification,present-descriptive,Names independent-reviewer testing as an outstanding future need, not a currently applicable procedure.
A01,provenance,absent,Card states no statement describes what evidence must be retained.
A01,implementation_cost,absent,Card states cost is not addressed in the permitted canonical set.
A01,limitations,present-operational,Names the exact evidentiary gap (single internal source FE-008, unresolved independent-reviewer stability).
A01,statement_basis,present-operational,Thorough per-bullet direct/inference/proposal-only/absent tagging plus a consistent summary section.
A02,card_id,present-operational,Stable concrete identifier.
A02,input,present-descriptive,Generic framework/task-scenario description with no concrete schema; marked inference.
A02,operation,present-descriptive,States a design heuristic ("add only enough structure") without concrete steps.
A02,output,present-descriptive,Describes output type (redesigned variant vs task outputs) with no concrete schema.
A02,scope_conditions,present-descriptive,Broad framing ("framework characterization and improvement") without a checkable boundary test.
A02,failure_conditions,present-operational,"Concrete checkable falsification criterion: the theory weakens if redesigned frameworks do not improve outputs."
A02,predicted_effect,present-operational,Names a comparison (more- vs less-structured variants) and specific outcome dimensions (traceability, evidence linkage) matching the measurement field.
A02,measurement,present-descriptive,Names outcome dimensions (traceability, evidence linkage, overhead) but no scoring instrument or threshold.
A02,implementation_test,absent,Card states no masking procedure, evaluator protocol, or scenario design exists; cannot fail.
A02,decision_rights,absent,Card states no canonical authority for approving a redesign is named.
A02,uncertainty_handling,present-descriptive,An inference drawn from hedged prediction wording, not a stated rule.
A02,verification,present-descriptive,"""Re-run FE-011A with stronger blinding"" is a future-work call, not a currently applicable procedure."
A02,provenance,absent,Card states no statement on what artifacts must be retained exists.
A02,implementation_cost,present-operational,"""Added verbosity and process overhead"" is a directly observed, named cost pattern (Observation 2)."
A02,limitations,present-operational,Specific: flags internal-only evidence and a named rival explanation (Hypothesis 4: generic-structure effect).
A02,statement_basis,present-operational,Thorough per-bullet tagging plus consistent summary.
A03,card_id,present-operational,Stable concrete identifier.
A03,input,present-descriptive,Generic description drawn from a definition; no concrete schema; marked inference.
A03,operation,present-descriptive,Gives definitions (Primitive Reasoning Operation, Procedural Reasoning Grammar) but no extraction/composition procedure.
A03,output,present-descriptive,Inferred description with no concrete representation format.
A03,scope_conditions,present-operational,Names a concrete distinguishing criterion (reasoning-heavy vs coordination-heavy artifacts).
A03,failure_conditions,present-operational,"Three concrete falsification criteria: extractor non-convergence, unbounded vocabulary growth, reconstruction failure outside familiar domains."
A03,predicted_effect,present-operational,Names an explicit comparison group (reasoning-heavy vs coordination-heavy) and measurable outcomes (convergence, vocabulary growth rate).
A03,measurement,present-descriptive,Card itself states no scoring procedure is defined despite naming the implied quantities.
A03,implementation_test,absent,Card states the extraction/reconstruction/holdout procedure is not present in its permitted evidence.
A03,decision_rights,absent,Not addressed.
A03,uncertainty_handling,present-descriptive,Inferred from hedged Observation 3 wording rather than a stated rule.
A03,verification,present-descriptive,"""Re-run FE-012A/FE-012B"" is a future-work call, not a current procedure."
A03,provenance,absent,Not addressed in the permitted canonical set.
A03,implementation_cost,absent,Not addressed.
A03,limitations,present-operational,"Specific: incomplete vocabulary stabilization, same-model-bias vulnerability, named open questions (Compare/Prioritize durability)."
A03,statement_basis,present-operational,Thorough per-bullet tagging plus consistent summary.
A04,card_id,present-operational,Stable concrete identifier.
A04,input,present-descriptive,Generic, inferred from paired definitions; no concrete schema.
A04,operation,present-descriptive,Card itself flags this as a definitional distinction only, not a demonstrated operation.
A04,output,absent,Card states directly that no output artifact or representation is described.
A04,scope_conditions,present-operational,Names a concrete triggering condition (coordination-/execution-heavy artifacts pressuring the vocabulary).
A04,failure_conditions,present-operational,Concrete falsifiable criterion: theory weakens if the two grammars cannot be separated.
A04,predicted_effect,present-descriptive,Names a forecast outcome but no explicit comparison group.
