"artifact_type","primary_purpose","produces","common_failure_mode","framework_engineering_applies"
"framework","guide structured reasoning","reasoning structure","confused with methodology; checklist; notation","yes"
"model","represent some aspect of reality","abstraction","mistaking the model for reality","partially"
"methodology","describe how work is performed","repeatable practice","dogmatism or ritualized use","partially"
"process","sequence work","flow","optimizing compliance over outcomes","partially"
"taxonomy","organize things into categories","classification","inferring relationships not actually present","partially"
"ontology","define concepts and relationships","semantic structure","over-specification","partially"
"standard","establish consistency or conformance","rules or requirements","stifling judgment or innovation","no / adjacent"
"notation","represent information","syntax","confusing representation with meaning","no / adjacent"
"pattern","capture recurring successful solutions","reusable guidance","cargo cult application","partially"
"reference architecture","provide reusable structural guidance","architecture model","overgeneralization","partially"
"tool","perform or assist work","execution support","tool mistaken for the method","no"
