artifact_id,blinded_artifact_id,extractor_id,date,raw_step,raw_verb_phrase,inferred_operation,normalized_primitive,new_primitive_candidate,confidence,rationale,ambiguity_notes
SWOT,BA-001,EX-01,2026-06-28,Frame focal situation,define the situation boundary,problem framing,Bound,,high,The artifact assumes a focal situation before categorization,Boundary often implicit rather than explicit
SWOT,BA-001,EX-01,2026-06-28,Identify relevant factors,identify internal and external factors,information acquisition,Observe,,high,Factors must be surfaced before sorting,Some versions blur identification and categorization
SWOT,BA-001,EX-01,2026-06-28,Sort factors,sort factors into four quadrants,categorical organization,Classify,,high,Core step is categorical placement,None
SWOT,BA-001,EX-01,2026-06-28,Judge significance,assess strategic importance,criteria judgment,Evaluate,,medium,Practical use usually requires judging salience,Evaluation is often informal
Five Whys,BA-002,EX-01,2026-06-28,State problem,state the problem,problem framing,Bound,,high,The artifact begins by fixing the focal issue,None
Five Whys,BA-002,EX-01,2026-06-28,Note incident facts,observe the event and symptoms,information acquisition,Observe,,medium,Most uses rely on a shared problem observation,Observation may be thin in practice
Five Whys,BA-002,EX-01,2026-06-28,Ask why,explain why the problem occurred,causal reasoning,Explain,,high,The primary reasoning move is causal explanation,None
Five Whys,BA-002,EX-01,2026-06-28,Continue why chain,explain the prior cause further,causal reasoning,Explain,,high,The artifact recursively extends explanation,None
Five Whys,BA-002,EX-01,2026-06-28,Stop at plausible cause,confirm plausible root cause,claim testing,Verify,,medium,The method usually stops when a cause seems sufficient,Stopping rule is often subjective
OODA Loop,BA-003,EX-01,2026-06-28,Observe signals,observe the environment,information acquisition,Observe,,high,Observation is explicit in the artifact,None
OODA Loop,BA-003,EX-01,2026-06-28,Orient context,orient to the situation,context interpretation,Interpret,,high,Orient is meaning assignment under conditions,None
OODA Loop,BA-003,EX-01,2026-06-28,Choose response,decide what to do,commitment,Decide,,high,Decision is explicit,None
OODA Loop,BA-003,EX-01,2026-06-28,Take action,act on the decision,intervention,Act,,high,Action is explicit,None
OODA Loop,BA-003,EX-01,2026-06-28,Loop on change,reorient when conditions shift,judgment reopening,Reassess,,high,The cycle assumes revision under new evidence,None
Scientific Method,BA-004,EX-01,2026-06-28,Notice phenomenon,observe a phenomenon,information acquisition,Observe,,high,Observation is the usual starting point,None
