"artifact_id","artifact_name","primitive_composition","fit","notes"
"edf","EDF","context; manifestations; origins; propagation; control points; calibration","high","Reasoning structure explicit"
"clarity","Clarity","understanding; justification; reconsideration criteria","high","Compact reflective grammar"
"scrum","Scrum","roles; events; artifacts","medium","Practice structure dominates"
"kanban","Kanban","work items; states; limits; pull signals","medium","Useful reduction but not purely reasoning-first"
"uml","UML","diagram types; symbols; relations","low","Representational primitives dominate"
"bpmn","BPMN","events; tasks; gateways; flows","low","Notation primitives dominate"
"osi_model","OSI Model","layers; interfaces","medium","Abstract representation reduces cleanly"
"iso_9001","ISO 9001","requirements; controls; audit criteria","medium","Conformance structure more than reasoning structure"
"zachman","Zachman","rows; columns; viewpoints","medium","Classification grid drives artifact"
"mitre_attack","MITRE ATT&CK","tactics; techniques; procedures","medium","Semantic structure reduces well"
